ReciboID,PorcentajeDescuento,VehiculoID,ClienteID,Cantidad,Precio,Precio,Subtotal,Nombre,CostoActual,CostoAnterior,
15,0,12,12,4,72.41,72.41,289.64,ACEITE ATF PARA TRANSMISIÓN AUTOMÁTICA,72.41,72.41,
15,0,12,12,1,1416.38,1416.38,1416.38,KIT DE DISTRIBUCIÓN,1416.38,1416.38,
16,0,27,23,1,60.34,60.34,60.34,FILTRO DE ACEITE ML1006,60.34,60.34,
16,0,27,23,3,88.79,88.79,266.37,ACEITE MOBIL SUPER TRC 20W-50 API SN 946ML,88.79,88.79,
16,0,27,23,1,133.62,133.62,133.62,GALÓN DE ANTICONGELANTE PRESTONE 33%,133.62,133.62,
16,0,27,23,1,426.72,426.72,426.72,ACEITE MOBIL SUPER TRC 20W-50 API SN,426.72,426.72,
17,0,5,6,1.5,82.76,82.76,124.14,ACEITE DE DIFERENCIAL HAVOLINE SAE 85W-140 946ML,82.76,82.76,
17,0,5,6,1,568.97,568.97,568.97,BANDA DE ACCESORIO,568.97,568.97,
18,0,28,24,1,176.72,176.72,176.72,GALÓN DE ANTICONGELANTE PRESTONE ROSA,176.72,176.72,
18,0,28,24,1,2116.38,2116.38,2116.38,KIT DE DISTRIBUCIÓN INA,2116.38,2116.38,
18,0,28,24,1,112.07,112.07,112.07,BANDA DE A/A CONTINENTAL 3PK0800S PARA GOL SAVEIRO,112.07,112.07,
2,0,7,7,1,241.38,241.38,241.38,FILTRO DE ACEITE WIX W-930/26,241.38,241.38,
2,0,7,7,1,329.31,329.31,329.31,FILTRO DE AIRE PARA H-100 CA 10564,329.31,329.31,
17,0,5,6,1,56.03,56.03,56.03,LIMPIADOR DE PARABRISAS BUG WASH PRESTONE,56.03,56.03,
17,0,5,6,3,482.76,482.76,1448.28,GARRAFA DE ACEITE MOBIL DELVAC 1300 SUPER 15W-40 API CK-4,482.76,482.76,
18,0,28,24,1,250,250,250,BANDA DE ALT. D/H CONTINENTAL 6PK1200S PARA GOL,250,250,
18,0,28,24,2,56.04,56.04,112.08,LITRO DE ANTICONGELANTE PRESTONE ROSA,56.04,56.04,
19,0,7,7,1,387.93,387.93,387.93,JUEGO DE BALATAS,551.72,551.72,
19,0,7,7,2,331.9,331.9,663.8,JUEGO DE HERRAJE DE CALIPER,241.38,241.38,
19,0,7,7,1,784.48,784.48,784.48,DISCO DE FRENO,784.48,784.48,
20,0,32,29,1,113.79,113.79,113.79,ACEITE SEMISINTETICO MOBIL 5W-30 API SN,113.79,113.79,
20,0,32,29,1,837.07,837.07,837.07,EMPAQUE DE TAPA DE PUNTERÍA PARA MINI COOPER,837.07,837.07,
21,0,29,26,1,73.28,73.28,73.28,BOTE DE LIMPIADOR DE INYECTORES EN ULTRASONIDO,73.28,73.28,
21,0,29,26,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
21,0,29,26,4,113.79,113.79,455.16,ACEITE SEMISINTETICO MOBIL 5W-30 API SN,113.79,113.79,
21,0,29,26,1,103.45,103.45,103.45,FILTRO DE AIRE INTERFIL F-43A09,103.45,103.45,
21,0,29,26,4,202.59,202.59,810.36,BUJIA DE ENCENDIDO NGK ORIGINAL PARA NISSAN,0,0,
21,0,29,26,1,1000,1000,1000,BOMBA DE CLOUTCH PARA NISSAN,1000,1000,
21,0,29,26,1,1034.48,1034.48,1034.48,BOMBA COLLARÍN,1034.48,1034.48,
22,0,36,34,2,176.72,176.72,353.44,GALÓN DE ANTICONGELANTE PRESTONE ROSA,176.72,176.72,
22,0,36,34,1,105.66,105.66,105.66,TOMA DE AGUA KAN-001755,105.66,105.66,
23,0,36,34,2,230.42,230.42,460.84,ROTULA,260.92,260.92,
23,0,36,34,2,375,375,750,TORNILLO ESTABILIZADOR,314.66,314.66,
23,0,36,34,1,509.51,509.51,509.51,TOMA DE AGUA,566.13,566.13,
23,0,36,34,1,1806.2,1806.2,1806.2,RADIADOR PARA FORD FIESTA,1806.2,1806.2,
24,0,35,33,1,67.24,67.24,67.24,BOTE LIMPIADOR DE CUERPO DE ACELERACIÓN ECOM,67.24,67.24,
24,0,35,33,1,73.28,73.28,73.28,BOTE DE LIMPIADOR DE INYECTORES EN ULTRASONIDO,73.28,73.28,
24,0,35,33,4,113.79,113.79,455.16,ACEITE SEMISINTETICO MOBIL 5W-30 API SN,113.79,113.79,
24,0,35,33,1,99.14,99.14,99.14,FILTRO DE AIRE INTERFIL F-16AK0,99.14,99.14,
24,0,35,33,1,60.34,60.34,60.34,FILTRO DE ACEITE ML 1014,60.34,60.34,
25,0,38,31,1,241.38,241.38,241.38,EMPAQUE DE PUNTERÍA,280.17,280.17,
25,0,38,31,1,77.59,77.59,77.59,FILTRO DE COMBUSTIBLE FGI-133,77.59,77.59,
25,0,38,31,4,30.17,30.17,120.68,BUJIA DE ENCENDIDO MOTORCRAFT,0,0,
25,0,38,31,1,103.45,103.45,103.45,FILTRO DE AIRE INTERFIL F-82A43 PARA FORD RANGER ARGENTINA,103.45,103.45,
25,0,38,31,1,74.14,74.14,74.14,ACEITE MOBIL SPECIAL ALTO KILOMETRAJE 25W-60 BOTE 946 ML,74.14,74.14,
25,0,38,31,1,155.17,155.17,155.17,RETEN DE COLA DE CAJA,155.17,155.17,
26,0,38,31,1,241.38,241.38,241.38,EMPAQUE DE PUNTERÍA,280.17,280.17,
26,0,38,31,1,77.59,77.59,77.59,FILTRO DE COMBUSTIBLE FGI-133,77.59,77.59,
26,0,38,31,4,30.17,30.17,120.68,BUJIA DE ENCENDIDO MOTORCRAFT,0,0,
26,0,38,31,1,103.45,103.45,103.45,FILTRO DE AIRE INTERFIL F-82A43 PARA FORD RANGER ARGENTINA,103.45,103.45,
26,0,38,31,1,74.14,74.14,74.14,ACEITE MOBIL SPECIAL ALTO KILOMETRAJE 25W-60 BOTE 946 ML,74.14,74.14,
26,0,38,31,1,155.17,155.17,155.17,RETEN DE COLA DE CAJA,155.17,155.17,
27,0,39,12,2,67.24,67.24,134.48,BOTE LIMPIADOR DE CUERPO DE ACELERACIÓN ECOM,67.24,67.24,
27,0,39,12,2,73.28,73.28,146.56,BOTE DE LIMPIADOR DE INYECTORES EN ULTRASONIDO,73.28,73.28,
27,0,39,12,1,60.34,60.34,60.34,FILTRO DE ACEITE PUROLATOR TL14610 EQ/1008,60.34,60.34,
27,0,39,12,1,456.9,456.9,456.9,BALERO,370.69,370.69,
27,0,39,12,4,88.79,88.79,355.16,ACEITE MOBIL SUPER TRC 20W-50 API SN 946ML,88.79,88.79,
27,0,39,12,4,64.66,64.66,258.64,ACEITE MOBIL ESPECIAL SAE 20W-50 D/T,64.66,64.66,
27,0,39,12,1,60.35,60.35,60.35,FILTRO DE ACEITE TL10111 EQ. ML1000,0,0,
27,0,39,12,1,64.66,64.66,64.66,FILTRO DE AIRE INTERFIL F-54A96 EQ. A25688,0,0,
27,0,39,12,1,81.9,81.9,81.9,FILTRO DE GASOLINA FGI.12 INTERFIL,0,0,
27,0,39,12,1,439.66,439.66,439.66,JUEGO DE BALATAS,551.72,551.72,
27,0,39,12,4,30.17,30.17,120.68,BUJIA DE ENCENDIDO DELCO,30.17,30.17,
27,0,39,12,4,50,50,200,BUJÍA DE ENCENDIDO NGK BKR5EGP,50,50,
27,0,39,12,1,301.72,301.72,301.72,JUEGO DE CABLES PARA BUJÍA,301.72,301.72,
27,0,39,12,1,120.7,120.7,120.7,TAPA DE DISTRUBUIDOR,120.7,120.7,
28,0,40,13,1,67.24,67.24,67.24,BOTE LIMPIADOR DE CUERPO DE ACELERACIÓN ECOM,67.24,67.24,
28,0,40,13,1,73.28,73.28,73.28,BOTE DE LIMPIADOR DE INYECTORES EN ULTRASONIDO,73.28,73.28,
